rs;name;within;home;incoming;outgoing
08111;Stuttgart, Landeshauptstadt;207160;18460;231400;80280
08115;Böblingen;55940;10910;138790;119630
08116;Esslingen;74680;16070;149290;170530
08117;Göppingen;35940;7220;67580;83230
08118;Ludwigsburg;70330;14780;147270;180690
08119;Rems-Murr-Kreis;61710;11650;108320;136940
08121;Heilbronn, Stadt;32870;3720;46150;21290
08125;Heilbronn, Landkreis;46200;9920;96930;115210
08126;Hohenlohekreis;20070;2900;39680;35130
08127;Schwäbisch Hall;40370;7010;47470;51990
08128;Main-Tauber-Kreis;28750;3890;35020;35120
08135;Heidenheim;23960;3690;31420;34020
08136;Ostalbkreis;63150;8550;76650;83690
08211;Baden-Baden, Stadt;14080;1680;18990;10330
08212;Karlsruhe, Stadt;99070;9950;104200;40380
08215;Karlsruhe, Landkreis;60970;11760;108430;147240
08216;Rastatt;35450;5230;61990;74990
08221;Heidelberg, Stadt;46590;5550;65270;23610
08222;Mannheim, Universitätsstadt;93370;6180;112170;42100
08225;Neckar-Odenwald-Kreis;24220;3470;34150;43500
08226;Rhein-Neckar-Kreis;63910;16320;131550;188300
08231;Pforzheim, Stadt;31750;2740;34600;19090
08235;Calw;23800;5470;31980;47950
08236;Enzkreis;24240;6130;42300;69370
08237;Freudenstadt;27070;3660;29470;31200
08311;Freiburg im Breisgau, Stadt;77690;7850;63240;26140
08315;Breisgau-Hochschwarzwald;36190;8650;59590;86750
08316;Emmendingen;23480;4610;36580;55940
08317;Ortenaukreis;82130;12530;111180;121680
08325;Rottweil;26560;4810;38750;41380
08326;Schwarzwald-Baar-Kreis;50440;5850;50520;48230
08327;Tuttlingen;28810;3650;39920;36500
08335;Konstanz;60610;8230;59210;69300
08336;Lörrach;38480;5350;50440;70270
08337;Waldshut;30640;5580;33720;48340
08415;Reutlingen;55290;7670;72920;79890
08416;Tübingen;43360;7880;49930;61200
08417;Zollernalbkreis;40740;4720;40980;48790
08421;Ulm, Universitätsstadt;36780;4490;60700;19920
08425;Alb-Donau-Kreis;29160;6360;40130;64840
08426;Biberach;34250;5920;58630;60180
08435;Bodenseekreis;44650;7210;57330;55980
08436;Ravensburg;57510;9590;76920;78200
08437;Sigmaringen;24090;3740;36330;39400
09161;Ingolstadt;44250;4010;56180;16730
09162;München, Landeshauptstadt;552900;52630;355880;150550
09163;Rosenheim;16410;2340;24560;12330
09171;Altötting;15350;3960;33800;35140
09172;Berchtesgadener Land;17490;3740;24950;32490
09173;Bad Tölz-Wolfratshausen;19740;6230;26200;38380
09174;Dachau;16510;5170;31730;55960
09175;Ebersberg;12900;5970;30690;49900
09176;Eichstätt;14060;4710;26530;47360
09177;Erding;16850;6110;26860;49240
09178;Freising;26270;6130;65450;61480
09179;Fürstenfeldbruck;21940;7490;39860;77800
09180;Garmisch-Partenkirchen;19170;3020;18890;20310
09181;Landsberg am Lech;15450;5580;29740;39630
09182;Miesbach;14730;4550;25780;31400
09183;Mühldorf a.Inn;15880;4810;28320;35220
09184;München, Landkreis;32340;13670;170600;119740
09185;Neuburg-Schrobenhausen;16720;3260;20190;28840
09186;Pfaffenhofen a.d.Ilm;16250;4390;27960;43060
09187;Rosenheim, Landkreis;33640;14130;58750;83330
09188;Starnberg;16830;7490;37400;41910
09189;Traunstein;28530;10180;44890;49460
09190;Weilheim-Schongau;22340;5110;33830;40540
09261;Landshut;18110;1540;27450;11830
09262;Passau;15970;1480;24550;5570
09263;Straubing;14450;1520;21170;5910
09271;Deggendorf;20040;3950;35550;36460
09272;Freyung-Grafenau;12650;2630;16710;24470
09273;Kelheim;19770;4270;25440;37220
09274;Landshut, Landkreis;18470;5750;29530;56990
09275;Passau, Landkreis;27280;11200;38940;59110
09276;Regen;12720;3100;19460;24220
09277;Rottal-Inn;18150;5750;27800;37980
09278;Straubing-Bogen;11420;4160;17930;36290
09279;Dingolfing-Landau;16710;3070;36280;28790
09361;Amberg;13260;1130;17950;6080
09362;Regensburg;47090;5580;77800;16080
09363;Weiden i.d.OPf.;13230;1310;18880;6070
09371;Amberg-Sulzbach;16480;2640;19250;36090
09372;Cham;22990;4740;36370;40670
09373;Neumarkt i.d.OPf.;25260;3950;31210;39420
09374;Neustadt a.d.Waldnaab;12150;3070;22080;35430
09375;Regensburg, Landkreis;16370;7080;34050;76050
09376;Schwandorf;24350;5790;39650;45930
09377;Tirschenreuth;12060;2740;16960;23580
09461;Bamberg;23060;1700;39830;11090
09462;Bayreuth;24040;2350;30940;6690
09463;Coburg;12760;1340;24900;5910
09464;Hof;13700;810;15960;5370
